Walloons speak what language,     French in Belgium
In Gustav Holsts planets suite which planet is the magician,   Uranus
What UK gentleman's club first in 1891 to admit lady members,       Reform club
Ab Ovo Latin for the very beginning but what's it literally mean,   From the egg
Who was the last Emperor of France,   Napoleon III
Andy Green first broke the sound barrier on land in what car,  Thrust SSC
Names from jobs - Baker Cook obvious what was a Pallistair,         Fence maker
The Seven Pillars of Wisdom comes from where,     Proverbs in Bible
Name Glen Millers signature tune,      Moonlight Serenade
Josephine Hull best supporting actress Oscar which 1950 film,       Harvey
Which word links a type of bread and a cut of precious stone,       Baguette
What country does China have its longest land border with ,         Mongolia
Astronomer Fred Hoyle coined which phrase,    The Big Bang
The first US copyrighted film showed what in 1894,     A man sneezing
What do the four quarters of a hot cross bun symbolise,             Moon phases
Palm, Olive, Cyprus and Cedar what is the biblical link,            Woods cross made
Intelligents Report a quarterly magazine in US which subject,       UFO organisation
Paludism is an old name for which disease,     Malaria
What was the worlds first patented synthetic food in 1869,          Margarine
